Unnamed: 0,pokedex_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,sprite_size,sprite_perimeter,sprite_perimeter_to_size_ratio,sprite_red_mean,sprite_green_mean,sprite_blue_mean,sprite_brightness_mean,sprite_red_sd,sprite_green_sd,sprite_blue_sd,sprite_brightness_sd,sprite_overflow_vertical,sprite_overflow_horizontal
0,1,Bulbasaur,Bisasam,フシギダネ (Fushigidane),1,Normal,Seed Pokémon,2,Grass,Poison,0.7,6.9,2,Overgrow,,Chlorophyll,318,45,49,49,65,65,45,45,50,64,Medium Slow,2,Grass,Monster,87.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,251,52.0,0.20717131474103587,0.30119521912350594,0.46108897742363886,0.28111866260448404,0.3478009530505429,0.2037074456253958,0.2965685177678722,0.19631766289563313,0.22752657029147685,0.0,0.0
1,2,Ivysaur,Bisaknosp,フシギソウ (Fushigisou),1,Normal,Seed Pokémon,2,Grass,Poison,1.0,13.0,2,Overgrow,,Chlorophyll,405,60,62,63,80,80,60,45,50,142,Medium Slow,2,Grass,Monster,87.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,283,56.0,0.1978798586572438,0.31538834615118133,0.39955657174530584,0.3410933277904802,0.3520127485623225,0.25271015813768527,0.26633127428686076,0.23043692995539725,0.22404891301674815,0.0,0.0
2,3,Venusaur,Bisaflor,フシギバナ (Fushigibana),1,Normal,Seed Pokémon,2,Grass,Poison,2.0,100.0,2,Overgrow,,Chlorophyll,525,80,82,83,100,100,80,45,50,236,Medium Slow,2,Grass,Monster,87.5,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1159,145.0,0.12510785159620363,0.4605288534740902,0.5043292899558443,0.4589047353194945,0.47458762624980966,0.31167384846557555,0.27917985846855997,0.2518830702168594,0.24813165459886835,0.0,0.0
3,3,Mega Venusaur,Bisaflor,フシギバナ (Fushigibana),1,Normal,Seed Pokémon,2,Grass,Poison,2.4,155.5,1,Thick Fat,,,625,80,100,123,122,120,80,45,50,281,Medium Slow,2,Grass,Monster,87.5,20,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,564,84.0,0.14893617021276595,0.438993185926853,0.4786469197608121,0.45937282714504246,0.4590043109442358,0.25881426811142105,0.2163738737091842,0.20464980831475654,0.19011088712365246,0.0,0.0
4,4,Charmander,Glumanda,ヒトカゲ (Hitokage),1,Normal,Lizard Pokémon,1,Fire,,0.6,8.5,2,Blaze,,Solar Power,309,39,52,43,60,50,65,45,50,62,Medium Slow,2,Dragon,Monster,87.5,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,210,67.0,0.319047619047619,0.5476750700280113,0.3306069094304388,0.18522875816993464,0.3545035792094616,0.422389214110083,0.27801134732086763,0.1784393892508958,0.27639556505469687,0.0,0.0
5,5,Charmeleon,Glutexo,リザード (Lizardo),1,Normal,Flame Pokémon,1,Fire,,1.1,19.0,2,Blaze,,Solar Power,405,58,64,58,80,65,80,45,50,142,Medium Slow,2,Dragon,Monster,87.5,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,279,83.0,0.2974910394265233,0.545379155246328,0.27508609178438403,0.222700119474313,0.3477217888350083,0.40824410936672373,0.23142757152509,0.18107813898157993,0.2593317603522266,0.0,0.0
6,6,Charizard,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,2,Fire,Flying,1.7,90.5,2,Blaze,,Solar Power,534,78,84,78,109,85,100,45,50,267,Medium Slow,2,Dragon,Monster,87.5,20,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,879,216.0,0.24573378839590443,0.576689196725334,0.37621628856320694,0.29452809565236787,0.4158111936469696,0.4012631675587009,0.28125793976790825,0.21281286896801987,0.281846386555678,0.0,0.0
7,6,Mega Charizard X,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,2,Fire,Dragon,1.7,110.5,1,Tough Claws,,,634,78,130,111,130,85,100,45,50,285,Medium Slow,2,Dragon,Monster,87.5,20,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,571,153.0,0.2679509632224168,0.32623192884859725,0.4036605885786889,0.47788194086741526,0.4025914860982338,0.14874405642394176,0.19047870688561758,0.262215212517067,0.17709910094884837,0.0,0.0
8,6,Mega Charizard Y,Glurak,リザードン (Lizardon),1,Normal,Flame Pokémon,2,Fire,Flying,1.7,100.5,1,Drought,,,634,78,104,78,159,115,100,45,50,285,Medium Slow,2,Dragon,Monster,87.5,20,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,569,161.0,0.28295254833040423,0.6164719666425446,0.39065439884213793,0.32238877976498154,0.4431717150832214,0.339828997531233,0.1974894252822972,0.14101135882324672,0.20236008570977249,0.0,0.0
9,7,Squirtle,Schiggy,ゼニガメ (Zenigame),1,Normal,Tiny Turtle Pokémon,1,Water,,0.5,9.0,2,Torrent,,Rain Dish,314,44,48,65,50,64,43,45,50,63,Medium Slow,2,Monster,Water 1,87.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,225,54.0,0.24,0.3363311546840959,0.4372636165577342,0.4353638344226579,0.4029862018881627,0.26574189457837855,0.3185951314744656,0.3635152800132608,0.2924820987441346,0.0,0.0
