generation,status,type_number,type_1,type_2,height_m,weight_kg,abilities_number,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,maximum_experience,egg_type_number,has_gender,proportion_male,egg_cycles,damage_from_normal,damage_from_fire,damage_from_water,damage_from_electric,damage_from_grass,damage_from_ice,damage_from_fighting,damage_from_poison,damage_from_ground,damage_from_flying,damage_from_psychic,damage_from_bug,damage_from_rock,damage_from_ghost,damage_from_dragon,damage_from_dark,damage_from_steel,damage_from_fairy,sprite_size,sprite_perimeter,sprite_perimeter_to_size_ratio,sprite_red_mean,sprite_green_mean,sprite_blue_mean,sprite_brightness_mean,sprite_red_sd,sprite_green_sd,sprite_blue_sd,sprite_brightness_sd,sprite_overflow_vertical,sprite_overflow_horizontal
1.0,Normal,2.0,Grass,Poison,0.7,6.9,2.0,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,50.0,64.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,251.0,52.0,0.2071713147410358,0.3011952191235059,0.4610889774236388,0.281118662604484,0.3478009530505429,0.2037074456253958,0.2965685177678722,0.1963176628956331,0.2275265702914768,0.0,0.0
1.0,Normal,2.0,Grass,Poison,1.0,13.0,2.0,405.0,60.0,62.0,63.0,80.0,80.0,60.0,45.0,50.0,142.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,283.0,56.0,0.1978798586572438,0.3153883461511813,0.3995565717453058,0.3410933277904802,0.3520127485623225,0.2527101581376852,0.2663312742868607,0.2304369299553972,0.2240489130167481,0.0,0.0
1.0,Normal,2.0,Grass,Poison,2.0,100.0,2.0,525.0,80.0,82.0,83.0,100.0,100.0,80.0,45.0,50.0,236.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1159.0,145.0,0.1251078515962036,0.4605288534740902,0.5043292899558443,0.4589047353194945,0.4745876262498096,0.3116738484655755,0.2791798584685599,0.2518830702168594,0.2481316545988683,0.0,0.0
1.0,Normal,2.0,Grass,Poison,2.4,155.5,1.0,625.0,80.0,100.0,123.0,122.0,120.0,80.0,45.0,50.0,281.0,1059860.0,2.0,True,0.875,20.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,564.0,84.0,0.1489361702127659,0.438993185926853,0.4786469197608121,0.4593728271450424,0.4590043109442358,0.258814268111421,0.2163738737091842,0.2046498083147565,0.1901108871236524,0.0,0.0
1.0,Normal,1.0,Fire,None,0.6,8.5,2.0,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,50.0,62.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,210.0,67.0,0.319047619047619,0.5476750700280113,0.3306069094304388,0.1852287581699346,0.3545035792094616,0.422389214110083,0.2780113473208676,0.1784393892508958,0.2763955650546968,0.0,0.0
1.0,Normal,1.0,Fire,None,1.1,19.0,2.0,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,50.0,142.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,279.0,83.0,0.2974910394265233,0.545379155246328,0.275086091784384,0.222700119474313,0.3477217888350083,0.4082441093667237,0.23142757152509,0.1810781389815799,0.2593317603522266,0.0,0.0
1.0,Normal,2.0,Fire,Flying,1.7,90.5,2.0,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,50.0,267.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,879.0,216.0,0.2457337883959044,0.576689196725334,0.3762162885632069,0.2945280956523678,0.4158111936469696,0.4012631675587009,0.2812579397679082,0.2128128689680198,0.281846386555678,0.0,0.0
1.0,Normal,2.0,Fire,Dragon,1.7,110.5,1.0,634.0,78.0,130.0,111.0,130.0,85.0,100.0,45.0,50.0,285.0,1059860.0,2.0,True,0.875,20.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,571.0,153.0,0.2679509632224168,0.3262319288485972,0.4036605885786889,0.4778819408674152,0.4025914860982338,0.1487440564239417,0.1904787068856175,0.262215212517067,0.1770991009488483,0.0,0.0
1.0,Normal,2.0,Fire,Flying,1.7,100.5,1.0,634.0,78.0,104.0,78.0,159.0,115.0,100.0,45.0,50.0,285.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,569.0,161.0,0.2829525483304042,0.6164719666425446,0.3906543988421379,0.3223887797649815,0.4431717150832214,0.339828997531233,0.1974894252822972,0.1410113588232467,0.2023600857097724,0.0,0.0
1.0,Normal,1.0,Water,None,0.5,9.0,2.0,314.0,44.0,48.0,65.0,50.0,64.0,43.0,45.0,50.0,63.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,225.0,54.0,0.24,0.3363311546840959,0.4372636165577342,0.4353638344226579,0.4029862018881627,0.2657418945783785,0.3185951314744656,0.3635152800132608,0.2924820987441346,0.0,0.0
