generation,status,type_number,type_1,type_2,height_m,weight_kg,abilities_number,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,maximum_experience,egg_type_number,has_gender,proportion_male,egg_cycles,damage_from_normal,damage_from_fire,damage_from_water,damage_from_electric,damage_from_grass,damage_from_ice,damage_from_fighting,damage_from_poison,damage_from_ground,damage_from_flying,damage_from_psychic,damage_from_bug,damage_from_rock,damage_from_ghost,damage_from_dragon,damage_from_dark,damage_from_steel,damage_from_fairy
4.0,Normal,2.0,Dragon,Ground,1.9,95.0,2.0,600.0,108.0,130.0,95.0,80.0,85.0,102.0,45.0,70.0,270.0,1250000.0,2.0,True,0.5,40.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
3.0,Normal,1.0,Normal,None,1.0,22.0,2.0,440.0,60.0,90.0,70.0,60.0,120.0,40.0,200.0,70.0,154.0,1059860.0,1.0,True,0.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
5.0,Normal,1.0,Grass,None,1.0,28.0,3.0,461.0,75.0,86.0,67.0,106.0,67.0,60.0,255.0,70.0,161.0,1000000.0,1.0,True,0.5,20.0,1.0,2.0,0.0,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,Legendary,2.0,Fairy,Steel,2.8,355.0,1.0,720.0,92.0,170.0,115.0,80.0,115.0,148.0,10.0,0.0,350.0,1250000.0,1.0,False,0.5,120.0,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5
8.0,Normal,1.0,Grass,None,2.1,90.0,2.0,530.0,100.0,125.0,90.0,60.0,70.0,85.0,45.0,50.0,265.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,Normal,2.0,Bug,Flying,1.0,28.4,2.0,395.0,60.0,70.0,50.0,100.0,50.0,65.0,45.0,70.0,178.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
2.0,Normal,1.0,Normal,None,1.8,32.5,3.0,415.0,85.0,76.0,64.0,45.0,55.0,90.0,90.0,70.0,145.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3.0,Normal,2.0,Grass,Dark,1.3,59.6,3.0,480.0,90.0,100.0,60.0,90.0,60.0,80.0,45.0,70.0,216.0,1059860.0,2.0,True,0.5,15.0,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0
6.0,Legendary,2.0,Dragon,Ground,4.5,610.0,1.0,708.0,216.0,100.0,121.0,91.0,95.0,85.0,3.0,0.0,319.0,1250000.0,1.0,False,0.5,120.0,1.0,0.5,1.0,0.0,1.0,4.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,2.0
1.0,Normal,2.0,Bug,Grass,1.0,29.5,3.0,405.0,60.0,95.0,80.0,60.0,80.0,30.0,75.0,70.0,142.0,1000000.0,2.0,True,0.5,20.0,1.0,4.0,0.5,0.5,0.25,2.0,0.5,2.0,0.25,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
1.0,Normal,1.0,Water,None,1.6,85.5,2.0,530.0,79.0,83.0,100.0,85.0,105.0,78.0,45.0,70.0,239.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
2.0,Normal,1.0,Normal,None,1.5,14.0,3.0,415.0,100.0,70.0,70.0,65.0,65.0,45.0,190.0,70.0,145.0,1000000.0,1.0,True,0.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
4.0,Sub Legendary,1.0,Psychic,None,0.3,0.3,1.0,580.0,75.0,125.0,70.0,125.0,70.0,115.0,3.0,140.0,261.0,1250000.0,1.0,False,0.5,80.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
6.0,Normal,2.0,Dark,Psychic,0.4,3.5,3.0,288.0,53.0,54.0,53.0,37.0,46.0,45.0,190.0,70.0,58.0,1000000.0,2.0,True,0.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0
5.0,Normal,2.0,Electric,Flying,0.4,5.0,2.0,428.0,55.0,75.0,60.0,75.0,60.0,103.0,200.0,70.0,150.0,1000000.0,1.0,True,0.5,20.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
6.0,Normal,1.0,Psychic,None,0.6,8.5,3.0,466.0,74.0,48.0,76.0,83.0,81.0,104.0,75.0,70.0,163.0,1000000.0,1.0,True,0.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
2.0,Normal,2.0,Rock,Dark,2.0,202.0,2.0,600.0,100.0,134.0,110.0,95.0,100.0,61.0,45.0,35.0,270.0,1250000.0,1.0,True,0.5,40.0,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
1.0,Legendary,1.0,Psychic,None,2.0,122.0,2.0,680.0,106.0,110.0,90.0,154.0,90.0,130.0,3.0,0.0,306.0,1250000.0,1.0,False,0.5,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
8.0,Normal,1.0,Electric,None,1.0,34.0,2.0,490.0,69.0,90.0,60.0,90.0,60.0,121.0,45.0,50.0,172.0,800000.0,1.0,True,0.5,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1.0,Normal,1.0,Water,None,1.0,20.0,3.0,385.0,65.0,65.0,65.0,50.0,50.0,90.0,120.0,70.0,135.0,1059860.0,1.0,True,0.5,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1.0,Legendary,1.0,Psychic,None,1.5,33.0,1.0,780.0,106.0,150.0,70.0,194.0,120.0,140.0,3.0,0.0,351.0,1250000.0,1.0,False,0.5,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
7.0,Normal,2.0,Grass,Fairy,0.2,1.5,3.0,285.0,40.0,35.0,55.0,65.0,75.0,15.0,190.0,70.0,57.0,1000000.0,1.0,True,0.5,20.0,1.0,2.0,0.5,0.5,0.5,2.0,0.5,4.0,0.5,2.0,1.0,1.0,1.0,1.0,0.0,0.5,2.0,1.0
2.0,Normal,2.0,Bug,Rock,0.6,20.5,3.0,505.0,20.0,10.0,230.0,10.0,230.0,5.0,190.0,70.0,177.0,1059860.0,1.0,True,0.5,20.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
1.0,Normal,2.0,Water,Fighting,1.3,54.0,3.0,510.0,90.0,95.0,95.0,70.0,90.0,70.0,45.0,70.0,230.0,1059860.0,1.0,True,0.5,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0
8.0,Sub Legendary,1.0,Electric,None,1.2,145.0,1.0,580.0,80.0,100.0,50.0,100.0,50.0,200.0,3.0,35.0,290.0,1250000.0,1.0,False,0.5,120.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
1.0,Normal,2.0,Water,Psychic,2.0,120.0,1.0,590.0,95.0,75.0,180.0,130.0,80.0,30.0,75.0,70.0,207.0,1000000.0,2.0,True,0.5,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
7.0,Normal,2.0,Water,Psychic,0.9,19.0,3.0,475.0,68.0,105.0,70.0,70.0,70.0,92.0,80.0,70.0,166.0,1000000.0,1.0,True,0.5,15.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0
5.0,Sub Legendary,2.0,Electric,Flying,3.0,61.0,1.0,580.0,79.0,105.0,70.0,145.0,80.0,101.0,3.0,90.0,261.0,1250000.0,1.0,True,1.0,120.0,1.0,1.0,1.0,0.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
1.0,Normal,1.0,Normal,None,0.8,36.5,3.0,395.0,65.0,60.0,70.0,85.0,75.0,40.0,45.0,70.0,79.0,1000000.0,1.0,False,0.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
8.0,Normal,1.0,Ghost,None,1.0,0.4,2.0,510.0,60.0,95.0,50.0,145.0,130.0,30.0,30.0,50.0,179.0,800000.0,2.0,True,0.25,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
1.0,Normal,2.0,Ghost,Poison,1.4,40.5,1.0,600.0,60.0,65.0,80.0,170.0,95.0,130.0,45.0,70.0,270.0,1059860.0,1.0,True,0.5,20.0,0.0,1.0,1.0,1.0,0.5,1.0,0.0,0.25,2.0,1.0,2.0,0.25,1.0,2.0,1.0,2.0,1.0,0.5
