generation,status,type_number,type_1,type_2,height_m,weight_kg,abilities_number,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,maximum_experience,egg_type_number,has_gender,proportion_male,egg_cycles,damage_from_normal,damage_from_fire,damage_from_water,damage_from_electric,damage_from_grass,damage_from_ice,damage_from_fighting,damage_from_poison,damage_from_ground,damage_from_flying,damage_from_psychic,damage_from_bug,damage_from_rock,damage_from_ghost,damage_from_dragon,damage_from_dark,damage_from_steel,damage_from_fairy,sprite_size,sprite_perimeter,sprite_perimeter_to_size_ratio,sprite_red_mean,sprite_green_mean,sprite_blue_mean,sprite_brightness_mean,sprite_red_sd,sprite_green_sd,sprite_blue_sd,sprite_brightness_sd,sprite_overflow_vertical,sprite_overflow_horizontal
1.0,Normal,2.0,Grass,Poison,0.7,6.9,2.0,318.0,45.0,49.0,49.0,65.0,65.0,45.0,45.0,50.0,64.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,251.0,52.0,0.20717131474103587,0.30119521912350594,0.46108897742363886,0.28111866260448404,0.3478009530505429,0.2037074456253958,0.2965685177678722,0.19631766289563313,0.22752657029147685,0.0,0.0
1.0,Normal,2.0,Grass,Poison,1.0,13.0,2.0,405.0,60.0,62.0,63.0,80.0,80.0,60.0,45.0,50.0,142.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,283.0,56.0,0.1978798586572438,0.31538834615118133,0.39955657174530584,0.3410933277904802,0.3520127485623225,0.25271015813768527,0.26633127428686076,0.23043692995539725,0.22404891301674815,0.0,0.0
1.0,Normal,2.0,Grass,Poison,2.0,100.0,2.0,525.0,80.0,82.0,83.0,100.0,100.0,80.0,45.0,50.0,236.0,1059860.0,2.0,True,0.875,20.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1159.0,145.0,0.12510785159620363,0.4605288534740902,0.5043292899558443,0.4589047353194945,0.47458762624980966,0.31167384846557555,0.27917985846855997,0.2518830702168594,0.24813165459886835,0.0,0.0
1.0,Normal,2.0,Grass,Poison,2.4,155.5,1.0,625.0,80.0,100.0,123.0,122.0,120.0,80.0,45.0,50.0,281.0,1059860.0,2.0,True,0.875,20.0,1.0,1.0,0.5,0.5,0.25,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,564.0,84.0,0.14893617021276595,0.438993185926853,0.4786469197608121,0.45937282714504246,0.4590043109442358,0.25881426811142105,0.2163738737091842,0.20464980831475654,0.19011088712365246,0.0,0.0
1.0,Normal,1.0,Fire,None,0.6,8.5,2.0,309.0,39.0,52.0,43.0,60.0,50.0,65.0,45.0,50.0,62.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,210.0,67.0,0.319047619047619,0.5476750700280113,0.3306069094304388,0.18522875816993464,0.3545035792094616,0.422389214110083,0.27801134732086763,0.1784393892508958,0.27639556505469687,0.0,0.0
1.0,Normal,1.0,Fire,None,1.1,19.0,2.0,405.0,58.0,64.0,58.0,80.0,65.0,80.0,45.0,50.0,142.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,279.0,83.0,0.2974910394265233,0.545379155246328,0.27508609178438403,0.222700119474313,0.3477217888350083,0.40824410936672373,0.23142757152509,0.18107813898157993,0.2593317603522266,0.0,0.0
1.0,Normal,2.0,Fire,Flying,1.7,90.5,2.0,534.0,78.0,84.0,78.0,109.0,85.0,100.0,45.0,50.0,267.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,879.0,216.0,0.24573378839590443,0.576689196725334,0.37621628856320694,0.29452809565236787,0.4158111936469696,0.4012631675587009,0.28125793976790825,0.21281286896801987,0.281846386555678,0.0,0.0
1.0,Normal,2.0,Fire,Dragon,1.7,110.5,1.0,634.0,78.0,130.0,111.0,130.0,85.0,100.0,45.0,50.0,285.0,1059860.0,2.0,True,0.875,20.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,571.0,153.0,0.2679509632224168,0.32623192884859725,0.4036605885786889,0.47788194086741526,0.4025914860982338,0.14874405642394176,0.19047870688561758,0.262215212517067,0.17709910094884837,0.0,0.0
1.0,Normal,2.0,Fire,Flying,1.7,100.5,1.0,634.0,78.0,104.0,78.0,159.0,115.0,100.0,45.0,50.0,285.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,569.0,161.0,0.28295254833040423,0.6164719666425446,0.39065439884213793,0.32238877976498154,0.4431717150832214,0.339828997531233,0.1974894252822972,0.14101135882324672,0.20236008570977249,0.0,0.0
1.0,Normal,1.0,Water,None,0.5,9.0,2.0,314.0,44.0,48.0,65.0,50.0,64.0,43.0,45.0,50.0,63.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,225.0,54.0,0.24,0.3363311546840959,0.4372636165577342,0.4353638344226579,0.4029862018881627,0.26574189457837855,0.3185951314744656,0.3635152800132608,0.2924820987441346,0.0,0.0
1.0,Normal,1.0,Water,None,1.0,22.5,2.0,405.0,59.0,63.0,80.0,65.0,80.0,58.0,45.0,50.0,142.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,304.0,77.0,0.2532894736842105,0.40323787409700723,0.4305727554179567,0.48867389060887517,0.44082817337461305,0.3149007077302176,0.3367839785851001,0.39043055256824105,0.3382085827382007,0.0,0.0
1.0,Normal,1.0,Water,None,1.6,85.5,2.0,530.0,79.0,83.0,100.0,85.0,105.0,78.0,45.0,50.0,239.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,794.0,119.0,0.14987405541561713,0.4369091717291451,0.5046624191238208,0.5498542994023806,0.4971419634184488,0.30181162577366016,0.3138043241467794,0.3626664533454341,0.3081415992346692,0.0,0.0
1.0,Normal,1.0,Water,None,1.6,101.1,1.0,630.0,79.0,103.0,120.0,135.0,115.0,78.0,45.0,50.0,284.0,1059860.0,2.0,True,0.875,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,483.0,89.0,0.18426501035196688,0.5003125888036374,0.5024154589371981,0.4889863191653473,0.49723812230206094,0.2724077985574145,0.2653916224036551,0.29574370386515664,0.26075194247008965,0.0,0.0
1.0,Normal,1.0,Bug,None,0.3,2.9,2.0,195.0,45.0,30.0,35.0,20.0,20.0,45.0,255.0,50.0,39.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,136.0,43.0,0.3161764705882353,0.37188581314878894,0.3608996539792388,0.17612456747404845,0.30297001153402536,0.33086013600394437,0.3256145248215839,0.1337038330460954,0.24911963845497975,0.0,0.0
1.0,Normal,1.0,Bug,None,0.7,9.9,1.0,205.0,50.0,20.0,55.0,25.0,25.0,30.0,120.0,50.0,72.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,131.0,41.0,0.31297709923664124,0.3943122287082772,0.5065110013471037,0.218081125580003,0.37296811854512796,0.2834791911077598,0.36001780337109096,0.18217981008837775,0.26933409476911324,0.0,0.0
1.0,Normal,2.0,Bug,Flying,1.1,32.0,2.0,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,50.0,178.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,736.0,153.0,0.2078804347826087,0.4649136828644501,0.46105605285592505,0.5026161551577153,0.4761952969593634,0.35936676921176036,0.3454974990480621,0.3554100575876158,0.3466904269108666,0.03571428571428571,0.0
1.0,Normal,2.0,Bug,Poison,0.3,3.2,2.0,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,50.0,39.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,146.0,48.0,0.3287671232876712,0.4600590921300026,0.3483212463067418,0.21982272360999194,0.3427343540155788,0.3663291097108779,0.29349156568397133,0.22236848385397998,0.27884738490340405,0.0,0.0
1.0,Normal,2.0,Bug,Poison,0.6,10.0,1.0,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,50.0,72.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,160.0,40.0,0.25,0.5384313725490195,0.46078431372549017,0.1292156862745098,0.3761437908496731,0.3923589675287551,0.33744066931188316,0.10733194351009744,0.2680559016756963,0.0,0.0
1.0,Normal,2.0,Bug,Poison,1.0,29.5,2.0,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,50.0,178.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,301.0,113.0,0.3754152823920266,0.37647058823529417,0.3449938114780796,0.2665103250602567,0.3293249082578768,0.38632151193446435,0.3595029676773896,0.3405591205704907,0.33563205614166963,0.0,0.0
1.0,Normal,2.0,Bug,Poison,1.4,40.5,1.0,495.0,65.0,150.0,40.0,15.0,80.0,145.0,45.0,50.0,223.0,1000000.0,1.0,True,0.5,15.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,430.0,121.0,0.2813953488372093,0.5238759689922482,0.4897583219334245,0.39616051071591424,0.4699316005471957,0.29564305099189275,0.27172929916768346,0.2573459469053532,0.24682303647921933,0.0,0.0
1.0,Normal,2.0,Normal,Flying,0.3,1.8,3.0,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,50.0,50.0,1059860.0,1.0,True,0.5,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,197.0,50.0,0.25380710659898476,0.47855081118741916,0.38682193689658595,0.24922862546033644,0.3715337911814472,0.3676706808783704,0.31072962569372964,0.2132525890885118,0.2853355367581465,0.0,0.0
1.0,Normal,2.0,Normal,Flying,1.1,30.0,3.0,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,50.0,122.0,1059860.0,1.0,True,0.5,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,238.0,64.0,0.2689075630252101,0.45925193606854503,0.30476190476190473,0.216444224748723,0.3268193551930576,0.362176738714852,0.2535098392844258,0.19169209975869156,0.25209914690242413,0.0,0.0
1.0,Normal,2.0,Normal,Flying,1.5,39.5,3.0,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,50.0,216.0,1059860.0,1.0,True,0.5,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,679.0,129.0,0.18998527245949925,0.6159461722833464,0.4642582806318404,0.31668254930838313,0.4656290007411899,0.36977241853649645,0.3264226798203439,0.2234778785000148,0.2904088058948108,0.0,0.0
1.0,Normal,2.0,Normal,Flying,2.2,50.5,1.0,579.0,83.0,80.0,80.0,135.0,80.0,121.0,45.0,50.0,261.0,1059860.0,1.0,True,0.5,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,500.0,125.0,0.25,0.5361803921568629,0.4029725490196079,0.37223529411764705,0.43712941176470593,0.31056236087509165,0.2479911271992411,0.18560522073024288,0.2117571078440041,0.0,0.0
1.0,Normal,1.0,Normal,None,0.3,3.5,3.0,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,50.0,51.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,205.0,68.0,0.33170731707317075,0.37876614060258246,0.32979435676709706,0.40187470109995216,0.3701450661565439,0.31927677719631364,0.2810936966955953,0.33395931333695317,0.30368106355591007,0.0,0.0
1.0,Normal,2.0,Dark,Normal,0.3,3.8,3.0,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,50.0,51.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,237.0,80.0,0.33755274261603374,0.30896003971208735,0.3008852486142136,0.2877802597832382,0.29920851603651305,0.27617808204461997,0.2632817218433905,0.2411572069101858,0.2585532698306259,0.0,0.0
1.0,Normal,1.0,Normal,None,0.7,18.5,3.0,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,50.0,145.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,318.0,87.0,0.27358490566037735,0.4655567887532372,0.3979775558021951,0.2582809224318658,0.3739384223290993,0.3737925083065104,0.3264626294865988,0.22062572536815994,0.2994004738394826,0.0,0.0
1.0,Normal,2.0,Dark,Normal,0.7,25.5,3.0,413.0,75.0,71.0,70.0,40.0,80.0,77.0,127.0,50.0,145.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,337.0,89.0,0.26409495548961426,0.3954616861581427,0.36371676266945946,0.32778262640367717,0.3623203584104264,0.3317981112115832,0.303674718554137,0.26277816848701985,0.2979045693031871,0.0,0.0
1.0,Normal,2.0,Normal,Flying,0.3,2.0,2.0,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,50.0,52.0,1000000.0,1.0,True,0.5,15.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,197.0,50.0,0.25380710659898476,0.4314123618990743,0.2887230018911118,0.2012939185826615,0.3071430941242825,0.35045517309012986,0.23079880261268643,0.18458851610696822,0.24282555769813297,0.0,0.0
